model_id,dim,M,rep,seed,method,selected_h,sup_err,ise,f_hat,min_D_hat,gap_to_oracle,is_grid_boundary
gg_1d,1,2000,0,3032918238,oracle,0.3,0.06300217930095803,0.08479560328526395,0.3988726232838315,0.00567515092138555,1.0,0
gg_1d,1,2000,0,3032918238,lepski,0.3,0.06300217930095803,0.08479560328526395,0.3988726232838315,0.00567515092138555,1.0,0
gg_1d,1,2000,1,1066207224,oracle,0.3,0.07769056265696817,0.08836893129827832,0.38909430908567605,0.006194020084886626,1.0,0
gg_1d,1,2000,1,1066207224,lepski,0.3,0.07769056265696817,0.08836893129827832,0.38909430908567605,0.006194020084886626,1.0,0
gg_1d,1,2000,2,3929519758,oracle,0.3,0.049862848934730586,0.031736386698578395,0.39252785364499376,0.00609584300178332,1.0,0
gg_1d,1,2000,2,3929519758,lepski,0.3,0.049862848934730586,0.031736386698578395,0.39252785364499376,0.00609584300178332,1.0,0
gg_1d,1,2000,3,4075413513,oracle,0.424264068712,0.2105929968910658,0.1883854369248547,0.3892470368001512,0.005254591606815976,1.0,0
gg_1d,1,2000,3,4075413513,lepski,0.424264068712,0.2105929968910658,0.1883854369248547,0.3892470368001512,0.005254591606815976,1.0,0
gg_1d,1,2000,4,3145778132,oracle,0.3,0.11099720248726008,0.09977377202246086,0.3777049139326148,0.006822500418959689,1.0,0
gg_1d,1,2000,4,3145778132,lepski,0.424264068712,0.17178207611852958,0.12318632955515482,0.3769909416578695,0.0066980720412047395,1.547625275855454,0
gg_1d,1,2000,5,2865763038,oracle,0.3,0.1002195367533174,0.08549089963423977,0.3834536223368147,0.006566653090490622,1.0,0
gg_1d,1,2000,5,2865763038,lepski,0.424264068712,0.12595721110319413,0.1171106276937806,0.38206843372272076,0.006823583786263963,1.2568129446978786,0
gg_1d,1,2000,6,561033802,oracle,0.212132034356,0.13716353903664968,0.1738524606606238,0.4361517027279319,0.007612422773198022,1.0,0
gg_1d,1,2000,6,561033802,lepski,0.424264068712,0.24953846205321906,0.22812472608544948,0.40056723339059896,0.008171134214354524,1.8192769288822674,0
gg_1d,1,2000,7,411878496,oracle,0.424264068712,0.06089661656276357,0.06305039267172217,0.3996035751178622,0.006139402227604975,1.0,0
gg_1d,1,2000,7,411878496,lepski,0.3,0.10958940163436193,0.08561196612403929,0.4122386993422985,0.005602269511512906,1.7995975444943277,0
gg_1d,1,2000,8,1143809828,oracle,0.424264068712,0.07615784552896265,0.09674457500466653,0.37092243740497877,0.006691998000520575,1.0,0
gg_1d,1,2000,8,1143809828,lepski,0.3,0.1209044362279732,0.157252642888862,0.37332770998278103,0.006303574302998135,1.5875506376029704,0
gg_1d,1,2000,9,1897686915,oracle,0.053033008589,0.25628388150298465,0.36337303169844964,0.3018147591785018,0.008497977650406168,1.0,0
gg_1d,1,2000,9,1897686915,lepski,0.15,0.6046530006455693,0.43052180330106277,0.38633846925921816,0.005876012489490676,2.359309516851248,0
gg_1d,1,2000,10,310984977,oracle,0.15,0.0672846029524603,0.041316112990321334,0.4190454640886659,0.006145916638231717,1.0,0
gg_1d,1,2000,10,310984977,lepski,0.3,0.16965535087091954,0.12078630721727447,0.40596098379343404,0.006930215253843296,2.5214587502402135,0
gg_1d,1,2000,11,3807402261,oracle,0.026516504294,0.13126410934845723,0.13600134533874136,0.3119277343901199,0.005400442742640404,1.0,0
gg_1d,1,2000,11,3807402261,lepski,0.424264068712,0.30823162783825575,0.22607874574245868,0.3785763743554499,0.0072476812429797255,2.3481790214263047,0
gg_1d,1,2000,12,2035922533,oracle,0.424264068712,0.5862507316309844,0.38046507109809385,0.3886258221633133,0.00958662277014248,1.0,0
gg_1d,1,2000,12,2035922533,lepski,0.075,1.5330056380380368,1.0520744965230355,0.3802214130193677,0.01941212140226301,2.6149317268621974,0
gg_1d,1,2000,13,2995539971,oracle,0.106066017178,0.04900993679017507,0.05729638676886672,0.3840187701594912,0.006450588182375062,1.0,0
gg_1d,1,2000,13,2995539971,lepski,0.3,0.13278058174817398,0.13603841252161486,0.4055088444149634,0.006392491818071073,2.7092583758400655,0
gg_1d,1,2000,14,913046978,oracle,0.212132034356,0.06312964771754626,0.06574615620641638,0.39023478697936204,0.005684535908088771,1.0,0
gg_1d,1,2000,14,913046978,lepski,0.212132034356,0.06312964771754626,0.06574615620641638,0.39023478697936204,0.005684535908088771,1.0,0
gg_1d,1,2000,15,1402190273,oracle,0.212132034356,0.07273121021246887,0.08761671415183901,0.360948944279408,0.0068394117662289025,1.0,0
gg_1d,1,2000,15,1402190273,lepski,0.3,0.1166916091572121,0.11986638025424427,0.37950663142528884,0.007119267335678119,1.6044227617871643,0
