model_id,dim,M,rep,seed,h,sup_err,ise,f_hat,min_D_hat
mm_1d,1,1000,5,3424658561,0.026516504294,0.9986449149893928,0.8445177317473019,0.17396373205157872,0.22388131830836105
mm_1d,1,1000,5,3424658561,0.0375,0.6436052987856592,0.5615915859066597,0.20296625403216206,0.25331187015607143
mm_1d,1,1000,5,3424658561,0.053033008589,0.4422070144996424,0.4403602005597143,0.2311059118765311,0.24895269960184224
mm_1d,1,1000,5,3424658561,0.075,0.6394775532507464,0.6161714899308577,0.25711054864829874,0.2260917213310032
mm_1d,1,1000,5,3424658561,0.106066017178,0.5943299647147391,0.5360063359341585,0.2818246038748005,0.25128216833749845
mm_1d,1,1000,5,3424658561,0.15,0.4725331483028082,0.42835173558922574,0.2845299282427102,0.2644822210677103
mm_1d,1,1000,5,3424658561,0.212132034356,0.3397104324978263,0.3167218586540157,0.2746035606204781,0.28428641669556554
mm_1d,1,1000,5,3424658561,0.3,0.2220124862716124,0.2521108944985002,0.26583410607129876,0.3305197915464121
mm_1d,1,1000,5,3424658561,0.424264068712,0.32302317140913805,0.2979869375143154,0.2586162460838948,0.3397930406422869
mm_1d,1,1000,5,3424658561,0.6,0.5087395605705796,0.4723371258072512,0.2523921507586054,0.2967059434584054
mm_1d,1,1000,5,3424658561,0.848528137424,0.7590687564038467,0.7182734945754424,0.24438983899385353,0.2656289913579205
mm_1d,1,1000,5,3424658561,1.2,1.0316567514854045,0.9611573087542706,0.22587079322546103,0.2653153378415336
mm_1d,1,1000,6,2760304911,0.02,1.0594245470309622,1.2500977089059206,0.1579001338570643,0.17191561706871045
mm_1d,1,1000,6,2760304911,0.026516504294,1.0166906434479182,1.040936513664012,0.17745464231110122,0.1368031527597006
mm_1d,1,1000,6,2760304911,0.0375,1.015419559437329,1.0096258234494095,0.21492891835591177,0.08112956457454185
mm_1d,1,1000,6,2760304911,0.053033008589,0.8023711082512457,1.0732414974702966,0.24852041930630944,0.06372022465432232
mm_1d,1,1000,6,2760304911,0.075,0.6356824669759977,0.5145241423514987,0.26647721277382774,0.21192753901163194
mm_1d,1,1000,6,2760304911,0.106066017178,0.43256191073055517,0.4067207772986691,0.26914695748996714,0.3119001927306429
mm_1d,1,1000,6,2760304911,0.15,0.3751088104534317,0.36113923393072156,0.2725717181250559,0.30594893257915
mm_1d,1,1000,6,2760304911,0.212132034356,0.32594398303012834,0.28923048649275074,0.2716389642483376,0.30558446067830064
mm_1d,1,1000,6,2760304911,0.3,0.2669331793580146,0.22039730480677314,0.2754252439965688,0.27454248403722975
mm_1d,1,1000,6,2760304911,0.424264068712,0.6128167874224,0.49302126951837266,0.2796126825684863,0.34955021183891605
mm_1d,1,1000,6,2760304911,0.6,0.7784634554653285,0.681417788223677,0.27014711092298394,0.4067496385060096
mm_1d,1,1000,6,2760304911,0.848528137424,0.7713375121440069,0.8287050958748221,0.25732420066570244,0.5072509544755598
mm_1d,1,1000,6,2760304911,1.2,0.9292932956970767,1.0273969033583292,0.22881701657127135,0.5261934509579781
mm_1d,1,1000,7,2904491693,0.02,1.8487777159099488,2.4708678875560968,0.47076385524362513,0.006700187528816522
mm_1d,1,1000,7,2904491693,0.026516504294,1.8488810435565957,2.485032056988529,0.37270799679472694,0.006554904152692768
mm_1d,1,1000,7,2904491693,0.0375,1.9203428155524427,2.6116801907793405,0.3301023896208784,0.005333026808469252
mm_1d,1,1000,7,2904491693,0.053033008589,1.5219510641701128,1.5360802348450964,0.31721984872264086,0.03463715412619918
mm_1d,1,1000,7,2904491693,0.075,0.8309092597275805,0.7458767951306365,0.3270185049264694,0.12130510649081602
mm_1d,1,1000,7,2904491693,0.106066017178,0.49016843009643046,0.4616270827466512,0.3315933470536878,0.16856211501496457
