model_id,dim,M,rep,seed,h,ise
mm_1d,1,1000,18,2634853374,0.212132034356,0.2558765755686334
mm_1d,1,1000,18,2634853374,0.3,0.26778297227521053
mm_1d,1,1000,18,2634853374,0.424264068712,0.34133145071576276
mm_1d,1,1000,18,2634853374,0.6,0.4650320621158025
mm_1d,1,1000,18,2634853374,0.848528137424,0.7429853128545919
mm_1d,1,1000,18,2634853374,1.2,1.1156750975660474
mm_1d,1,1000,19,4045012504,0.02,0.8936974795517194
mm_1d,1,1000,19,4045012504,0.026516504294,0.679461308813602
mm_1d,1,1000,19,4045012504,0.0375,0.5225543139910227
mm_1d,1,1000,19,4045012504,0.053033008589,0.2648831626204713
mm_1d,1,1000,19,4045012504,0.075,0.2696899248952336
mm_1d,1,1000,19,4045012504,0.106066017178,0.150289776683055
mm_1d,1,1000,19,4045012504,0.15,0.18089198785394184
mm_1d,1,1000,19,4045012504,0.212132034356,0.22855557413343158
mm_1d,1,1000,19,4045012504,0.3,0.1944426746438491
mm_1d,1,1000,19,4045012504,0.424264068712,0.2557835752434716
mm_1d,1,1000,19,4045012504,0.6,0.5074501947050678
mm_1d,1,1000,19,4045012504,0.848528137424,0.7248523740541136
mm_1d,1,1000,19,4045012504,1.2,0.9304719247923862
mm_1d,1,1000,20,3032918238,0.02,0.3713176238394117
mm_1d,1,1000,20,3032918238,0.026516504294,0.5434569479166295
mm_1d,1,1000,20,3032918238,0.0375,0.5258886385045309
mm_1d,1,1000,20,3032918238,0.053033008589,0.39516077180073966
mm_1d,1,1000,20,3032918238,0.075,0.26507297785812384
mm_1d,1,1000,20,3032918238,0.106066017178,0.12858901468379144
mm_1d,1,1000,20,3032918238,0.15,0.08898339498986363
mm_1d,1,1000,20,3032918238,0.212132034356,0.08557199408848848
mm_1d,1,1000,20,3032918238,0.3,0.1430199836036786
mm_1d,1,1000,20,3032918238,0.424264068712,0.1833519450080482
mm_1d,1,1000,20,3032918238,0.6,0.3802336955413276
mm_1d,1,1000,20,3032918238,0.848528137424,0.6362127075411403
mm_1d,1,1000,20,3032918238,1.2,0.8623303700799053
mm_1d,1,1000,21,1066207224,0.02,1.7197373079690197
mm_1d,1,1000,21,1066207224,0.026516504294,1.4631268555251178
mm_1d,1,1000,21,1066207224,0.0375,1.1529441730139331
mm_1d,1,1000,21,1066207224,0.053033008589,0.9328494806884408
mm_1d,1,1000,21,1066207224,0.075,0.729689822726127
mm_1d,1,1000,21,1066207224,0.106066017178,0.6241473114964445
mm_1d,1,1000,21,1066207224,0.15,0.5248803214549765
mm_1d,1,1000,21,1066207224,0.212132034356,0.4997207437452759
mm_1d,1,1000,21,1066207224,0.3,0.4319596447853389
mm_1d,1,1000,21,1066207224,0.424264068712,0.43191788650536234
mm_1d,1,1000,21,1066207224,0.6,0.48282714300475243
mm_1d,1,1000,21,1066207224,0.848528137424,0.6832474488575696
mm_1d,1,1000,21,1066207224,1.2,1.0052320986396233
mm_1d,1,1000,22,3929519758,0.02,1.1344547253890362
mm_1d,1,1000,22,3929519758,0.026516504294,1.0288813855210495
mm_1d,1,1000,22,3929519758,0.0375,0.8670381178274581
mm_1d,1,1000,22,3929519758,0.053033008589,0.5028614568972405
mm_1d,1,1000,22,3929519758,0.075,0.35938514911276614
mm_1d,1,1000,22,3929519758,0.106066017178,0.28810474292223764
mm_1d,1,1000,22,3929519758,0.15,0.22291440334064336
mm_1d,1,1000,22,3929519758,0.212132034356,0.3405962485981441
mm_1d,1,1000,22,3929519758,0.3,0.3508887745852559
mm_1d,1,1000,22,3929519758,0.424264068712,0.3675963880858785
mm_1d,1,1000,22,3929519758,0.6,0.5563558464848295
mm_1d,1,1000,22,3929519758,0.848528137424,0.762319680037126
mm_1d,1,1000,22,3929519758,1.2,0.9486953853420437
mm_1d,1,1000,23,4075413513,0.02,0.6246658234396406
mm_1d,1,1000,23,4075413513,0.026516504294,0.5188080525762575
mm_1d,1,1000,23,4075413513,0.0375,0.49716236114528267
mm_1d,1,1000,23,4075413513,0.053033008589,0.3971459322410452
mm_1d,1,1000,23,4075413513,0.075,0.3939913736538104
mm_1d,1,1000,23,4075413513,0.106066017178,0.4758669810877052
mm_1d,1,1000,23,4075413513,0.15,0.4448121199029687
