label,model_id,run_name,selector_metric,trim_frac,dim,M,rep,seed,h,sup_err,ise,Mh_to_d,f_hat,f_floor_hit,n_kernel_positive,p_kernel_positive,sum_kernel_weights,kernel_weight_ess,min_g1_hat,median_g1_hat,max_g1_hat,min_D_hat,q01_D_hat,median_D_hat,max_D_hat,n_D_floor_grid,p_D_floor_grid
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,4,876933080,0.848528137424,0.7239364437658131,0.6412751248112998,848.528137424,0.3473481107908254,0,578,0.578,347.34811079082544,488.5560145018542,0.004130162305329,0.1512989776480475,0.3388318698212818,0.0118905564101836,0.0137161492611496,0.4355831310081902,0.9754821151894152,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,4,876933080,1.2,1.026763182670244,1.0980442540158468,1200.0,0.3342937178347797,0,757,0.757,334.29371783477967,653.9566188842235,0.0056562027361225,0.1598679115065212,0.3182360901982773,0.016919859495888,0.019387643549407,0.4782258923140575,0.9519655118244292,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,5,3424658561,0.081,0.1181667066111858,0.1532801595283563,81.0,0.4591735472293055,0,72,0.072,459.1735472293055,60.88168248227821,0.0026652914174824,0.186342337191883,0.466250088292045,0.0058045404260874,0.0068859735461131,0.4058211504479939,1.0154114737345823,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,5,3424658561,0.106066017178,0.0882067265349757,0.114019862884707,106.066017178,0.4386836584293565,0,87,0.087,438.6836584293565,75.09033021894162,0.0024992742852534,0.1760393668125411,0.4438636702194798,0.0056972130993019,0.0067701578037767,0.4012900034681589,1.011808080129243,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,5,3424658561,0.15,0.0752822403449293,0.051806216963584,150.0,0.4200065308648658,0,119,0.119,420.0065308648658,102.23189002053516,0.0024516347149652,0.1662427221121137,0.4203570115385532,0.0058371347462548,0.0069489308288554,0.3958098503130208,1.0008344648188343,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,5,3424658561,0.212132034356,0.0900386911588224,0.0479531961675784,212.132034356,0.4033828113059998,0,162,0.162,403.3828113059998,139.2881633676988,0.0024429803244908,0.1606422514002618,0.4008293945400283,0.0060562330769162,0.0072137966501342,0.3982377208393274,0.9936699911488434,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,5,3424658561,0.3,0.0913764983531097,0.1083368782628972,300.0,0.3914488321303766,0,234,0.234,391.4488321303766,192.7373159608067,0.0025214988208416,0.1593521362838,0.3866886837944182,0.0064414518932625,0.0076627826307318,0.4070829268197328,0.9878396665279282,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,5,3424658561,0.424264068712,0.1394191048894075,0.1547298948328165,424.264068712,0.3918994842314334,0,332,0.332,391.8994842314335,276.34621268978793,0.0025495857353352,0.1614655626978946,0.385479058223383,0.0065057134237757,0.0077426262647973,0.4120075917286543,0.9836171613733002,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,5,3424658561,0.6,0.2345102116639825,0.278673604448915,600.0,0.3889209703882454,0,470,0.47,388.9209703882455,387.90487188832776,0.0029209641450887,0.1648012417595159,0.3797690950975068,0.0075104310836539,0.0088914943498801,0.4237396651432833,0.9764685476290912,0,0.0
GG1,gg_1d,gg_1d_priority1_floor81_main_20260711_180209,raw_max,0.05,1,1000,5,3424658561,0.848528137424,0.6581283652878462,0.6429672914815904,848.528137424,0.3834348474256936,0,635,0.635,383.4348474256936,537.1819019525446,0.0042406664442264,0.1719130124872451,0.3712812096229026,0.0110596792980541,0.0127934387976331,0.4483499964633767,0.9683032518186906,0,0.0
